# Delaunay Triangulation Result
# VERTICES 1024
v 0.192038 0.949572
v 0.820312 0.620186
v 0.283716 0.241543
v 0.559965 0.696156
v 0.592738 0.686182
v 0.126246 0.812896
v 0.135539 0.911806
v 0.308777 0.890673
v 0.579292 0.243855
v 0.856668 0.409474
v 0.125076 0.833301
v 0.812182 0.348849
v 0.195069 0.904143
v 0.144336 0.830812
v 0.239212 0.307937
v 0.498946 0.521831
v 0.456115 0.286590
v 0.418643 0.600666
v 0.892473 0.504658
v 0.882048 0.408130
v 0.162554 0.349669
v 0.744774 0.407295
v 0.333469 0.675592
v 0.120843 0.621469
v 0.022824 0.617859
v 0.409871 0.564566
v 0.373692 0.541762
v 0.270288 0.780720
v 0.249564 0.612432
v 0.472880 0.929986
v 0.871768 0.533540
v 0.261449 0.178886
v 0.041783 0.811226
v 0.396265 0.185596
v 0.261810 0.325709
v 0.669219 0.528846
v 0.418625 0.339237
v 0.206512 0.879177
v 0.171644 0.940989
v 0.845696 0.315370
v 0.559175 0.241157
v 0.146124 0.598915
v 0.179467 0.900509
v 0.340300 0.820099
v 0.036246 0.779773
v 0.155203 0.784619
v 0.767526 0.662982
v 0.493671 0.471275
v 0.339417 0.503299
v 0.419678 0.602015
v 0.892620 0.504734
v 0.900706 0.413659
v 0.366384 0.179752
v 0.603942 0.272996
v 0.759250 0.388433
v 0.091042 0.551904
v 0.100052 0.390571
v 0.461333 0.635755
v 0.710034 0.501929
v 0.237233 0.700076
v 0.378598 0.812203
v 0.472066 0.929823
v 0.529832 0.873724
v 0.253914 0.342663
v 0.185537 0.185999
v 0.820011 0.599409
v 0.315803 0.269778
v 0.413270 0.246879
v 0.677304 0.590296
v 0.850101 0.199857
v 0.176214 0.928464
v 0.718305 0.186559
v 0.539627 0.204953
v 0.869361 0.435561
v 0.132274 0.837455
v 0.261118 0.699658
v 0.890789 0.436961
v 0.159968 0.831519
v 0.767409 0.648787
v 0.546035 0.517137
v 0.503590 0.681422
v 0.481487 0.659469
v 0.545478 0.891650
v 0.818406 0.431875
v 0.310130 0.211994
v 0.285443 0.747989
v 0.866157 0.382792
v 0.037526 0.503009
v 0.092346 0.387786
v 0.525936 0.449195
v 0.520104 0.327960
v 0.287723 0.796670
v 0.808274 0.386192
v 0.136765 0.594069
v 0.438815 0.192017
v 0.270031 0.330063
v 0.140079 0.189807
v 0.438037 0.186243
v 0.750820 0.668577
v 0.440818 0.196177
v 0.540895 0.660274
v 0.201269 0.854001
v 0.098613 0.904078
v 0.280408 0.853696
v 0.818419 0.503217
v 0.604224 0.190367
v 0.174205 0.873668
v 0.312048 0.706704
v 0.076841 0.580974
v 0.162652 0.834400
v 0.337513 0.239924
v 0.449119 0.462086
v 0.303067 0.541726
v 0.684319 0.473653
v 0.873575 0.556618
v 0.565852 0.207250
v 0.204179 0.336864
v 0.285713 0.748085
v 0.148930 0.642730
v 0.512925 0.969625
v 0.113406 0.382598
v 0.527878 0.449908
v 0.521550 0.283474
v 0.209723 0.723368
v 0.631128 0.211067
v 0.601571 0.185032
v 0.429651 0.203192
v 0.736412 0.676291
v 0.158982 0.225185
v 0.856300 0.570863
v 0.770600 0.652504
v 0.389582 0.205279
v 0.375186 0.238901
v 0.194389 0.827435
v 0.113431 0.908237
v 0.722152 0.187181
v 0.818964 0.516332
v 0.190757 0.609322
v 0.151907 0.874488
v 0.706623 0.317447
v 0.904419 0.430460
v 0.173403 0.859067
v 0.257228 0.178739
v 0.502119 0.579696
v 0.378886 0.355706
v 0.423224 0.647500
v 0.869869 0.548982
v 0.580964 0.204057
v 0.793768 0.643579
v 0.719702 0.262463
v 0.360362 0.851476
v 0.048883 0.516765
v 0.113658 0.368836
v 0.521452 0.486727
v 0.455410 0.670176
v 0.201465 0.707254
v 0.636935 0.205911
v 0.623661 0.185388
v 0.435183 0.201247
v 0.724449 0.683408
v 0.190659 0.219061
v 0.139814 0.495677
v 0.317157 0.313807
v 0.418489 0.204790
v 0.358873 0.238320
v 0.205330 0.862651
v 0.110582 0.830383
v 0.725723 0.185403
v 0.492030 0.180424
v 0.594778 0.208720
v 0.137738 0.941757
v 0.723083 0.300865
v 0.399389 0.945463
v 0.152544 0.836895
v 0.199376 0.180062
v 0.476618 0.434854
v 0.386525 0.368725
v 0.498327 0.204581
v 0.032331 0.496171
v 0.560234 0.208981
v 0.353385 0.181778
v 0.739280 0.278234
v 0.651234 0.182257
v 0.075041 0.471657
v 0.548914 0.929783
v 0.481230 0.525501
v 0.480666 0.677334
v 0.775262 0.301033
v 0.781793 0.417380
v 0.831411 0.410507
v 0.856882 0.578683
v 0.308323 0.331509
v 0.189985 0.219050
v 0.814075 0.566398
v 0.692766 0.685357
v 0.629934 0.623108
v 0.219266 0.352616
v 0.128507 0.778271
v 0.116696 0.830709
v 0.741356 0.186610
v 0.166162 0.492683
v 0.508552 0.937954
v 0.058623 0.819717
v 0.264083 0.707585
v 0.963815 0.379717
v 0.107121 0.801064
v 0.157248 0.196792
v 0.623446 0.521143
v 0.320911 0.379014
v 0.789615 0.546435
v 0.523118 0.980668
v 0.620794 0.205564
v 0.355584 0.182796
v 0.290883 0.756349
v 0.538047 0.190148
v 0.000000 0.655691
