# Delaunay Triangulation Result
# VERTICES 16000
v 0.023196 0.790625
v 0.250340 0.248067
v 0.489418 0.997416
v 0.466546 0.988322
v 0.853250 0.544495
v 0.495955 0.204190
v 0.358550 0.932886
v 0.046265 0.635703
v 0.270001 0.320023
v 0.692445 0.637008
v 0.752644 0.612078
v 0.563581 0.694931
v 0.422835 0.204981
v 0.423748 0.429744
v 0.532516 0.654894
v 0.428656 0.339835
v 0.318350 0.205786
v 0.815311 0.627706
v 0.038999 0.798572
v 0.207702 0.880660
v 0.243931 0.828777
v 0.840457 0.196427
v 0.208008 0.804913
v 0.108479 0.866633
v 0.915544 0.249147
v 0.138876 0.841015
v 0.205857 0.867107
v 0.140052 0.670603
v 0.718877 0.185173
v 0.040935 0.598167
v 0.045211 0.484048
v 0.245566 0.504666
v 0.214833 0.572529
v 0.461564 0.206708
v 0.216408 0.636814
v 0.210783 0.692107
v 0.802425 0.422027
v 0.050921 0.442155
v 0.041657 0.814061
v 0.091691 0.826896
v 0.987169 0.309058
v 0.045996 0.800309
v 0.238729 0.782021
v 0.631947 0.182018
v 0.298235 0.712481
v 0.030782 0.723700
v 0.047153 0.709652
v 0.889768 0.437496
v 0.477954 0.977180
v 0.763740 0.185698
v 0.137527 0.817059
v 0.798124 0.193741
v 0.145131 0.831769
v 0.994148 0.361126
v 0.300557 0.179515
v 0.760186 0.661056
v 0.840414 0.601598
v 0.465492 0.206673
v 0.187090 0.353745
v 0.499938 0.522083
v 0.530347 0.615854
v 0.534256 0.441737
v 0.601862 0.509967
v 0.418834 0.269133
v 0.642650 0.690130
v 0.289792 0.407056
v 0.328104 0.436568
v 0.421787 0.613893
v 0.589247 0.410486
v 0.483450 0.259010
v 0.742528 0.613092
v 0.210618 0.431262
v 0.870645 0.553772
v 0.895098 0.447792
v 0.841651 0.514997
v 0.196170 0.576642
v 0.074303 0.570791
v 0.226089 0.255034
v 0.259959 0.197590
v 0.149487 0.337317
v 0.794724 0.643512
v 0.637234 0.476678
v 0.309742 0.515284
v 0.725586 0.315338
v 0.719361 0.321659
v 0.298070 0.798398
v 0.259505 0.603209
v 0.344102 0.688422
v 0.195667 0.619030
v 0.165547 0.593244
v 0.832994 0.339381
v 0.899674 0.453429
v 0.031487 0.672346
v 0.965437 0.300470
v 0.826646 0.336807
v 0.748030 0.204190
v 0.022112 0.617230
v 0.544273 0.310649
v 0.372600 0.626191
v 0.543060 0.207346
v 0.482868 0.546483
v 0.590490 0.518367
v 0.599344 0.336109
v 0.532675 0.314844
v 0.465609 0.622746
v 0.571043 0.658247
v 0.619944 0.701456
v 0.596691 0.593412
v 0.755204 0.183782
v 0.159506 0.684548
v 0.208283 0.829954
v 0.611709 0.204114
v 0.818926 0.452028
v 0.557949 0.303314
v 0.104601 0.569033
v 0.472728 0.932778
v 0.740591 0.377385
v 0.400655 0.668335
v 0.689271 0.385149
v 0.835163 0.520416
v 0.502536 0.205031
v 0.354194 0.240446
v 0.281734 0.275285
v 0.293401 0.298656
v 0.273114 0.382646
v 0.584087 0.638221
v 0.654144 0.588208
v 0.020287 0.790120
v 0.233386 0.243856
v 0.489222 0.999123
v 0.041033 0.551585
v 0.856583 0.555927
v 0.495588 0.205572
v 0.360535 0.930184
v 0.410997 0.941989
v 0.269481 0.318438
v 0.636890 0.695166
v 0.249561 0.403427
v 0.562593 0.696471
v 0.422437 0.205047
v 0.426395 0.429616
v 0.650616 0.554368
v 0.427467 0.337847
v 0.318625 0.197212
v 0.387310 0.189036
v 0.028570 0.794183
v 0.207346 0.881751
v 0.243795 0.828176
v 0.841890 0.197671
v 0.209840 0.804046
v 0.129722 0.870196
v 0.921077 0.249361
v 0.137277 0.841713
v 0.205679 0.867377
v 0.342969 0.883616
v 0.721187 0.187115
v 0.042031 0.599906
v 0.523239 0.968453
v 0.502334 0.250217
v 0.217161 0.570740
v 0.458832 0.204700
v 0.235812 0.631503
v 0.326671 0.796415
v 0.584572 0.206520
v 0.049182 0.454479
v 0.042448 0.811768
v 0.112113 0.821330
v 0.034231 0.711741
v 0.072795 0.809092
v 0.227057 0.771123
v 0.635224 0.182706
v 0.305073 0.712160
v 0.027633 0.722976
v 0.053177 0.719153
v 0.894516 0.426925
v 0.478818 0.974377
v 0.763721 0.185122
v 0.197726 0.870823
v 0.213148 0.833247
v 0.151816 0.835464
v 0.993443 0.361233
v 0.300428 0.179291
v 0.759077 0.659134
