# Delaunay Triangulation Result
# VERTICES 6000
v 0.019593 0.790586
v 0.131888 0.923383
v 0.946492 0.394966
v 0.107001 0.479134
v 0.003115 0.650997
v 0.253639 0.289940
v 0.657038 0.703935
v 0.223608 0.473065
v 0.385485 0.410993
v 0.489328 0.459058
v 0.322650 0.211667
v 0.399369 0.180850
v 0.828488 0.207459
v 0.189988 0.823448
v 0.855865 0.312675
v 0.204818 0.857388
v 0.146294 0.817865
v 0.881480 0.305389
v 0.479903 0.965001
v 0.831640 0.447822
v 0.455709 0.203707
v 0.712882 0.193625
v 0.868387 0.520727
v 0.819854 0.519280
v 0.936667 0.304418
v 0.733616 0.262524
v 0.659902 0.184214
v 0.122652 0.728208
v 0.054200 0.803715
v 0.088003 0.652296
v 0.186671 0.864617
v 0.139524 0.793613
v 0.977039 0.339958
v 0.767327 0.666385
v 0.401963 0.205430
v 0.174117 0.324029
v 0.484110 0.528069
v 0.604874 0.559928
v 0.520213 0.305721
v 0.354239 0.340214
v 0.676509 0.639643
v 0.373563 0.610508
v 0.498123 0.205803
v 0.837086 0.606107
v 0.141823 0.490815
v 0.097374 0.412082
v 0.574922 0.196913
v 0.227232 0.251348
v 0.252731 0.184367
v 0.349051 0.179976
v 0.341508 0.551477
v 0.275508 0.750093
v 0.661153 0.207914
v 0.289282 0.634193
v 0.313524 0.671666
v 0.871153 0.497498
v 0.895370 0.514480
v 0.010628 0.658670
v 0.666759 0.186581
v 0.890949 0.341002
v 0.722117 0.506356
v 0.531184 0.205798
v 0.478357 0.492298
v 0.383799 0.666497
v 0.521586 0.323696
v 0.553317 0.644234
v 0.553617 0.641468
v 0.844304 0.293513
v 0.829641 0.222013
v 0.521274 0.189561
v 0.882020 0.498458
v 0.464111 0.847450
v 0.316683 0.694824
v 0.475347 0.257063
v 0.557873 0.207142
v 0.295568 0.216145
v 0.364474 0.187910
v 0.547834 0.697902
v 0.020930 0.790454
v 0.144803 0.929436
v 0.046038 0.599179
v 0.191663 0.441758
v 0.000785 0.651176
v 0.261391 0.282824
v 0.347836 0.347734
v 0.771473 0.554325
v 0.384675 0.411085
v 0.455250 0.499644
v 0.332413 0.233706
v 0.399234 0.180855
v 0.178030 0.812349
v 0.194324 0.822702
v 0.160908 0.711158
v 0.861426 0.211053
v 0.149875 0.822569
v 0.298996 0.894023
v 0.047257 0.526243
v 0.472409 0.886099
v 0.456451 0.203466
v 0.712630 0.192746
v 0.517809 0.926077
v 0.833879 0.547229
v 0.980038 0.288120
v 0.784585 0.263484
v 0.360850 0.823433
v 0.109872 0.698367
v 0.898100 0.220358
v 0.927211 0.391740
v 0.148452 0.837763
v 0.141106 0.795167
v 0.015821 0.680535
v 0.764482 0.648273
v 0.823122 0.618949
v 0.176215 0.323809
v 0.460806 0.521085
v 0.396756 0.447913
v 0.524677 0.304510
v 0.676055 0.654867
v 0.594975 0.692938
v 0.401362 0.647491
v 0.499993 0.205199
v 0.814107 0.597155
v 0.851222 0.511601
v 0.097337 0.436069
v 0.197237 0.579814
v 0.224154 0.251639
v 0.253430 0.184587
v 0.173191 0.357632
v 0.463357 0.662423
v 0.753682 0.271081
v 0.208386 0.672832
v 0.642522 0.296699
v 0.310342 0.671701
v 0.130153 0.512000
v 0.109890 0.497160
v 0.010572 0.658523
v 0.673136 0.186392
v 0.867731 0.323185
v 0.727116 0.508294
v 0.533214 0.205992
v 0.478468 0.497998
v 0.327605 0.631796
v 0.332677 0.528119
v 0.637015 0.604491
v 0.637187 0.559324
v 0.139039 0.726315
v 0.176546 0.799666
v 0.197476 0.518672
v 0.887705 0.499046
v 0.848266 0.469022
v 0.310194 0.693689
v 0.275091 0.481665
v 0.559443 0.211804
v 0.278568 0.208359
v 0.361267 0.184378
v 0.462652 0.333742
v 0.021764 0.790423
v 0.105444 0.863559
v 0.047681 0.591751
v 0.443659 0.195951
v 0.000914 0.651114
v 0.259294 0.309816
v 0.346487 0.357223
v 0.445039 0.317658
v 0.386270 0.418457
v 0.565668 0.523309
v 0.330666 0.233997
v 0.191938 0.402869
v 0.180949 0.813520
v 0.194514 0.820473
v 0.838160 0.301719
v 0.144295 0.780143
v 0.847468 0.206825
v 0.119838 0.710447
v 0.031705 0.491040
v 0.124940 0.533380
v 0.462873 0.203436
v 0.715421 0.189658
v 0.516760 0.933801
v 0.857146 0.567391
v 0.978370 0.288294
v 0.742282 0.214769
v 0.368650 0.825964
v 0.129086 0.713274
v 0.901430 0.222489
v 0.932602 0.391930
v 0.171732 0.866263
v 0.190093 0.840549
v 0.016509 0.680485
v 0.768094 0.648574
v 0.826654 0.615047
v 0.322478 0.179802
v 0.519318 0.465940
v 0.561087 0.505483
