# Delaunay Triangulation Result
# VERTICES 10000
v 0.019180 0.788288
v 0.237513 0.235390
v 0.074574 0.451195
v 0.850924 0.590004
v 0.812280 0.578402
v 0.350756 0.920246
v 0.407405 0.948059
v 0.361544 0.245162
v 0.316093 0.223405
v 0.451427 0.343129
v 0.801100 0.591284
v 0.607034 0.528633
v 0.399202 0.338291
v 0.360527 0.180223
v 0.431793 0.231010
v 0.122291 0.809846
v 0.784418 0.244953
v 0.833164 0.247843
v 0.263745 0.802408
v 0.140865 0.799004
v 0.170388 0.860166
v 0.360846 0.871538
v 0.722880 0.186543
v 0.070150 0.625555
v 0.525163 0.210666
v 0.512512 0.181935
v 0.644122 0.195720
v 0.237335 0.744453
v 0.866987 0.510883
v 0.182506 0.488693
v 0.188062 0.915755
v 0.930871 0.297958
v 0.755631 0.279250
v 0.229291 0.644131
v 0.302426 0.723705
v 0.024621 0.734666
v 0.080890 0.802230
v 0.045125 0.655407
v 0.210655 0.847457
v 0.820501 0.195312
v 0.114070 0.818915
v 0.109322 0.374867
v 0.323629 0.203621
v 0.212291 0.244377
v 0.453707 0.203095
v 0.191799 0.185172
v 0.525524 0.479319
v 0.381564 0.385975
v 0.651675 0.562028
v 0.412692 0.272919
v 0.685890 0.688129
v 0.272984 0.297852
v 0.483486 0.583724
v 0.621706 0.480471
v 0.809039 0.503752
v 0.415332 0.278709
v 0.746381 0.594571
v 0.052115 0.551419
v 0.560303 0.186437
v 0.809707 0.412167
v 0.245783 0.255465
v 0.214558 0.184178
v 0.364448 0.179851
v 0.523411 0.252207
v 0.463233 0.670165
v 0.258121 0.728722
v 0.261509 0.684571
v 0.311738 0.612505
v 0.649415 0.340467
v 0.808721 0.399784
v 0.360509 0.802368
v 0.096959 0.548575
v 0.542953 0.929198
v 0.967090 0.291816
v 0.836308 0.387356
v 0.276378 0.835742
v 0.518302 0.271563
v 0.692115 0.396221
v 0.493331 0.621681
v 0.548657 0.528164
v 0.441926 0.482938
v 0.672370 0.500570
v 0.457897 0.591243
v 0.644281 0.615513
v 0.460899 0.399840
v 0.714334 0.233820
v 0.850900 0.328601
v 0.210355 0.830390
v 0.628414 0.220560
v 0.552222 0.205232
v 0.091617 0.651564
v 0.578872 0.181818
v 0.692078 0.367517
v 0.687490 0.357999
v 0.873812 0.510536
v 0.560278 0.190688
v 0.296251 0.237526
v 0.710137 0.671317
v 0.738404 0.630194
v 0.539516 0.692661
v 0.026710 0.785872
v 0.246568 0.239111
v 0.083035 0.444053
v 0.850098 0.589397
v 0.812408 0.580232
v 0.944208 0.366369
v 0.060024 0.604695
v 0.288225 0.351555
v 0.223061 0.318548
v 0.664993 0.557027
v 0.225952 0.445964
v 0.529947 0.610440
v 0.397977 0.340565
v 0.363872 0.189353
v 0.231626 0.435850
v 0.121966 0.811478
v 0.243927 0.788451
v 0.846575 0.250112
v 0.746233 0.215795
v 0.209087 0.872497
v 0.148646 0.841784
v 0.919103 0.353391
v 0.722997 0.187360
v 0.387035 0.945613
v 0.521793 0.207892
v 0.184723 0.515094
v 0.812029 0.361588
v 0.263470 0.770905
v 0.521194 0.873796
v 0.492051 0.186131
v 0.093951 0.827316
v 0.921780 0.290399
v 0.252884 0.732535
v 0.645745 0.234161
v 0.296343 0.705833
v 0.039293 0.763666
v 0.192834 0.927052
v 0.955107 0.363841
v 0.208352 0.848481
v 0.190298 0.828840
v 0.203696 0.890252
v 0.106657 0.374990
v 0.327887 0.201367
v 0.210306 0.197448
v 0.435574 0.198493
v 0.193723 0.186202
v 0.524495 0.492623
v 0.395311 0.385027
v 0.457162 0.389120
v 0.740622 0.589586
v 0.332383 0.322208
v 0.273112 0.294334
v 0.521101 0.436426
v 0.482500 0.624434
v 0.502894 0.196892
v 0.277609 0.419202
v 0.266698 0.417998
v 0.053812 0.543753
v 0.561210 0.185641
v 0.621620 0.191422
v 0.243424 0.256356
v 0.214148 0.180483
v 0.363627 0.179397
v 0.763700 0.485353
v 0.466088 0.675890
v 0.728155 0.266109
v 0.744255 0.324339
v 0.703588 0.405040
v 0.651455 0.352009
v 0.611346 0.199426
v 0.214196 0.643326
v 0.104837 0.545695
v 0.543591 0.935417
v 0.043716 0.728839
v 0.845632 0.399341
v 0.879632 0.318777
v 0.526787 0.266725
v 0.307113 0.618836
v 0.495156 0.632519
v 0.548345 0.528857
v 0.447740 0.482841
v 0.347607 0.511867
v 0.368301 0.503965
v 0.381276 0.399713
v 0.405739 0.469831
v 0.726636 0.257080
v 0.847604 0.325995
v 0.208719 0.830089
v 0.231295 0.630072
v 0.552505 0.206180
v 0.891320 0.364059
v 0.577144 0.183480
v 0.302904 0.635312
v 0.330086 0.653878
v 0.868347 0.521608
v 0.549178 0.207979
v 0.315714 0.240319
v 0.716325 0.671949
v 0.266557 0.376585
v 0.537575 0.684245
v 0.026802 0.785790
v 0.245813 0.237092
v 0.547199 0.925594
v 0.180330 0.412942
v 0.205883 0.432537
v 0.101517 0.640532
v 0.082734 0.603875
v 0.349947 0.296026
v 0.315891 0.234477
v 0.333192 0.461237
v 0.456635 0.241915
v 0.399097 0.481562
v 0.345542 0.400931
v 0.195707 0.367139
v 0.242579 0.438552
v 0.142575 0.802995
v 0.249998 0.771482
v 0.770549 0.191019
v 0.746258 0.217104
v 0.207942 0.873873
v 0.153859 0.851830
v 0.357225 0.921893
v 0.722923 0.186789
v 0.381203 0.928234
v 0.526639 0.205171
v 0.172017 0.511540
